Air,Water
68,71.339
68,71.339
68,71.339
68,71.339
68,71.339
68,71.339
68,71.339
68,71.339
68,71.339
68,71.168
68,71.168
68,71.168
68,71.168
68,71.168
68,71.168
68,71.168
68,70.995
68,70.995
68,70.995
68,70.995
68.30566667,70.995
68.65266667,70.995
69,70.995
69,70.995
69.083,70.995
70,70.995
71.04175,70.824
71.302,70.824
71.5625,70.824
71.823,70.824
72.08325,70.824
72.34375,70.824
72.60425,70.824
72.8645,70.824
74,70.995
74,70.995
74,70.995
74.625,70.995
74.6665,70.995
74.146,71.168
74.75,71.168
75.792,71.168
76,71.168
76,71.339
76,71.512
76,71.512
76,71.512
80,71.683
80,71.683
80,71.683
80.04175,71.683
80.302,71.683
80.5625,71.856
80.823,71.856
81.24975001,72.028
82.03125,72.199
82.81275,72.199
83.5935,72.372
83.75,72.545
83.229,72.891
82.7085,73.062
82.1875,73.062
81.83325,73.234
81.573,73.407
81.3125,73.407
81.052,73.58
81,73.58
81,73.753
81,73.926
81,73.926
81,73.926
80.2185,74.098
79.43775,74.446
78.65625,74.446
77.95825,74.446
77.698,74.446
77.4375,74.271
77.177,74.271
76.8335,74.271
76.3125,74.098
75.7915,74.098
75.271,74.098
75,74.098
74.63866667,74.098
73.94466666,74.098
73.25,73.926
73.16675,73.926
73.427,73.753
73.6875,73.753
73.948,73.753
74,73.753
74,73.58
74,73.58
74,73.58
74,73.407
73.7395,73.407
73.47925,73.407
73.21875,73.407
73,73.407
73,73.407
73,73.407
73,73.234
73,73.234
73,73.234
73,73.234
73,73.234
73,73.234
73,73.234
73,73.234
73,73.234
72.83325,73.234
72.573,73.234
72.3125,73.234
72.052,73.234
71,73.234
71.4375,73.062
71.9585,73.062
72.479,73.062
73,73.062
72.65266667,72.891
72.30566667,72.891
72,72.891
72,72.718
72.06933333,72.718
72.41666667,72.718
72.764,72.718
73,72.545
73,72.545
73,72.545
73,72.545
73.125,72.545
73.3855,72.372
73.64575,72.372
73.90625,72.372
73.6665,72.372
73.146,72.199
72.625,72.199
72.104,72.199
72,72.199
72,72.028
71.69433333,72.028
71.34733333,72.028
71,72.028
71.2605,72.028
71.52075,72.028
71.78125,72.028
72,71.856
71.896,71.856
71.375,71.856
70.708,71.683
70,71.683
70,71.683
70,71.683
70,71.683
69.75,71.683
69.229,71.683
68.7085,71.683
68.1875,71.683
